condition,substrate,Group,treatment method ,treatment,treat No.,Cultivar,samples,fresh weight (A),dry weight(B),A-B,Vase_life,petals,petal size,L,a,b
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_KW,3,KW,4,3.14,0.44,2.7,7,10,40.33,92.94,-3.27,8.22
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_KW,3,KW,5,3.01,0.81,2.2,10,15,36.44,88.09,-3.2,7.61
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_KW,3,KW,6,3.43,1,2.43,8,11,38.49,88.91,-1.42,5.4
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KW,4,KW,1,3.51,0.56,2.95,7,11,47.01,84.71,-1.76,6.06
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KW,4,KW,2,3.68,0.96,2.72,8,12,35.99,93.96,-1.55,5.48
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KW,4,KW,3,3.77,0.71,3.06,8,10,40.39,72.77,-0.35,2.66
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KW,4,KW,4,3.23,0.77,2.46,7,10,41.62,82.37,-1.33,4.47
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KW,4,KW,5,4.11,0.68,3.43,10,15,44.55,86.25,-1.49,5.2
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KW,4,KW,6,3.88,0.74,3.14,7,10,40.45,83.16,-0.59,3.29
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_AG,1,AG,1,1.97,0.35,1.62,3,9,47.12,77.71,-8.35,17.8
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_AG,1,AG,2,2.58,0.51,2.07,7,10,40.62,81.02,-8.86,17.21
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_AG,1,AG,3,2.21,0.37,1.84,10,13,50.35,83.47,-10.28,19.79
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_AG,1,AG,4,2.34,0.66,1.68,9,12,43.01,84.94,-12.09,24.94
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_AG,1,AG,5,2.63,0.23,2.4,10,11,42.23,83.54,-12.54,28.63
Flower,soil,SSR,PSA2_0.0,PSA2_0.0_AG,1,AG,6,2.54,0.59,1.95,10,14,49.95,77.95,-11.09,22.12
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_AG,2,AG,1,2.76,0.54,2.22,12,12,52.12,76.73,-10.81,23.97
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_AG,2,AG,2,2.86,0.73,2.13,8,11,53.23,83.13,-7.18,16.79
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_AG,2,AG,3,2.52,0.68,1.84,10,11,55.21,84.42,-8.29,19.04
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_AG,2,AG,4,2.29,0.76,1.53,8,10,55.62,80.56,-13.94,31.27
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_AG,2,AG,5,2.2,0.6,1.6,10,11,54.15,80.18,-7.26,17.26
Flower,soil,SSR,PSA2_0.1,PSA2_0.1_AG,2,AG,6,1.6,0.48,1.12,8,10,55.44,83.48,-9.94,23.06
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_AG,3,AG,1,2.29,0.63,1.66,12,12,51.66,83.72,-9.67,23.68
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_AG,3,AG,2,2.11,0.43,1.68,12,12,50.77,79.08,-11.07,24.9
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_AG,3,AG,3,2.78,0.43,2.35,12,11,55,79.82,-11.24,24.77
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_AG,3,AG,4,2.24,0.54,1.7,8,10,53.91,83.27,-10.09,20.32
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_AG,3,AG,5,2.88,0.72,2.16,10,10,56.65,82.54,-10.88,25
Flower,soil,SSR,PSA2_0.3,PSA2_0.3_AG,3,AG,6,2.24,0.82,1.42,8,10,57.01,80.51,-7.93,17.26
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_AG,4,AG,1,2.85,0.42,2.43,12,12,50.21,84.59,-9.37,23.05
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_AG,4,AG,2,2.6,0.79,1.81,8,10,53.3,84.59,-10.32,24.07
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_AG,4,AG,3,2.91,0.83,2.08,12,12,53.4,79.06,-10.86,24.16
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_AG,4,AG,4,2.4,0.76,1.64,8,10,55.87,84.07,-11.44,25.55
