Cultivar,L_1,a_1,b_1,C_1,h_1,L_6,a_6,b_6,C_6,h_6,L_9,a_9,b_9,C_9,h_9,L_11,a_11,b_11,C_11,h_11,L_14,a_14,b_14,C_14,h_14,Vase_life
AG,79.29,-11.93,22.58,25.53784055,-1.084731734,80.74,-8.9,17.9,19.99049774,-1.109385851,83.2,-11.09,21.9,24.54787364,-1.102047651,82.13,-11.83,22.74,25.63311335,-1.091097052,81.6,-10.8,21.93,24.44514062,-1.113185966,13
AG,82.8,-12.31,22.65,25.77903412,-1.072966585,80.98,-8.99,18.05,20.16488532,-1.108701167,83.1,-11.07,21.8,24.44964008,-1.100929665,81.86,-11.77,22.53,25.41916206,-1.089378285,81.3,-10.53,21.65,24.07495379,-1.11810871,13
AG,82.93,-12.29,22.88,25.97187902,-1.077871986,81.4,-9.19,18.37,20.54052093,-1.106930995,83.03,-11.17,21.78,24.4772813,-1.096917027,82.01,-11.76,22.62,25.49435232,-1.091360556,81.79,-10.73,21.91,24.39633169,-1.115397843,13
AG,75.49,-4.68,10.02,11.05905963,-1.133841406,83.1,-9.96,19.84,22.19971171,-1.105537116,86.28,-5.57,12.16,13.37499533,-1.141260606,85.65,-9.26,20,22.03968239,-1.137184343,80.54,-4.28,21.22,21.64732778,-1.371770038,11
AG,77.15,-4.76,10.33,11.37393951,-1.139002613,83.4,-10.23,20.07,22.52682401,-1.099406169,86.7,-5.69,12.46,13.69772609,-1.142416675,85.76,-9.4,20.06,22.15318487,-1.132587494,80.68,-4.32,21.31,21.74347028,-1.370785097,11
AG,75.67,-4.64,9.94,10.96964904,-1.134059023,83.7,-10.21,20.2,22.63369391,-1.102801778,76.82,-5.87,12.53,13.83682767,-1.132684711,85.8,-9.39,20.15,22.23048807,-1.134712675,80.86,-4.41,21.42,21.86925925,-1.36775111,11
AG,83.59,-7.29,15.13,16.79467177,-1.121794808,75.85,-4.32,10.14,11.02188732,-1.168048926,82.15,-1.98,5.61,5.949159605,-1.231503712,78.54,-6.41,13.47,14.91740594,-1.126636505,88.05,-6.81,14.03,15.59541599,-1.118906134,12
AG,84.19,-6.4,13.59,15.0215878,-1.130670287,81.53,-5.09,11.4,12.48471465,-1.150864126,83,-2.01,5.75,6.09119036,-1.234508894,79.57,-6.39,13.04,14.52149097,-1.115155938,87.99,-6.75,14.02,15.56029884,-1.122094429,12
AG,83.99,-5.94,12.75,14.06577762,-1.134813414,82.25,-5.17,11.44,12.55398343,-1.14634432,83.87,-1.89,5.94,6.233434046,-1.262743546,80.55,-6.47,13.18,14.68241465,-1.114458974,88.13,-6.83,14.11,15.67612835,-1.119986814,12
AG,85.56,-6.86,13.27,14.93828973,-1.093676479,78.75,-7.09,15.45,16.99913527,-1.140566123,82.9,-12.07,23.1,26.06328644,-1.089302663,82.37,-8.47,16.91,18.91266771,-1.10643933,84.37,-8.54,17.89,19.82381648,-1.125422857,13
AG,85.73,-6.66,13,14.60669709,-1.097351113,78.58,-6.99,15.13,16.66664333,-1.138011398,83,-12.14,23.13,26.12233718,-1.087459482,82.04,-8.46,16.89,18.89030704,-1.106438491,84.46,-8.53,17.74,19.68421957,-1.122598522,13
