id,group,cult,day,concentration,no,samp,VL,a,b,L
NSA_0.1_AG_7_1,HSR,AG,9,0.1,1,7,14,-11.33,22.75,81.37
NSA_0.1_AG_7_1,HSR,AG,11,0.1,1,7,14,-9.15,18.27,85.01
NSA_0.1_AG_7_1,HSR,AG,14,0.1,1,7,14,-8.54,16.59,83.13
NSA_0.1_AG_7_2,HSR,AG,1,0.1,2,7,14,-4.12,7.87,79.72
NSA_0.1_AG_7_2,HSR,AG,6,0.1,2,7,14,-8.22,16.89,81.44
NSA_0.1_AG_7_2,HSR,AG,9,0.1,2,7,14,-11.83,23.29,82.41
NSA_0.1_AG_7_2,HSR,AG,11,0.1,2,7,14,-8.87,17.61,83.98
NSA_0.1_AG_7_2,HSR,AG,14,0.1,2,7,14,-8.48,16.71,83.24
NSA_0.1_AG_7_3,HSR,AG,1,0.1,3,7,14,-4.27,8.1,80.49
NSA_0.1_AG_7_3,HSR,AG,6,0.1,3,7,14,-8.38,16.95,81.43
NSA_0.1_AG_7_3,HSR,AG,9,0.1,3,7,14,-11.7,23.21,82.21
NSA_0.1_AG_7_3,HSR,AG,11,0.1,3,7,14,-8.7,17.32,83.9
NSA_0.1_AG_7_3,HSR,AG,14,0.1,3,7,14,-8.47,16.86,83.37
NSA_0.1_AG_8_1,HSR,AG,1,0.1,1,8,13,-11.93,22.58,79.29
NSA_0.1_AG_8_1,HSR,AG,6,0.1,1,8,13,-8.9,17.9,80.74
NSA_0.1_AG_8_1,HSR,AG,9,0.1,1,8,13,-11.09,21.9,83.2
NSA_0.1_AG_8_1,HSR,AG,11,0.1,1,8,13,-11.83,22.74,82.13
NSA_0.1_AG_8_1,HSR,AG,14,0.1,1,8,13,-10.8,21.93,81.6
NSA_0.1_AG_8_2,HSR,AG,1,0.1,2,8,13,-12.31,22.65,82.8
NSA_0.1_AG_8_2,HSR,AG,6,0.1,2,8,13,-8.99,18.05,80.98
NSA_0.1_AG_8_2,HSR,AG,9,0.1,2,8,13,-11.07,21.8,83.1
NSA_0.1_AG_8_2,HSR,AG,11,0.1,2,8,13,-11.77,22.53,81.86
NSA_0.1_AG_8_2,HSR,AG,14,0.1,2,8,13,-10.53,21.65,81.3
NSA_0.1_AG_8_3,HSR,AG,1,0.1,3,8,13,-12.29,22.88,82.93
NSA_0.1_AG_8_3,HSR,AG,6,0.1,3,8,13,-9.19,18.37,81.4
NSA_0.1_AG_8_3,HSR,AG,9,0.1,3,8,13,-11.17,21.78,83.03
NSA_0.1_AG_8_3,HSR,AG,11,0.1,3,8,13,-11.76,22.62,82.01
NSA_0.1_AG_8_3,HSR,AG,14,0.1,3,8,13,-10.73,21.91,81.79
NSA_0.1_AG_9_1,HSR,AG,1,0.1,1,9,11,-4.68,10.02,75.49
NSA_0.1_AG_9_1,HSR,AG,6,0.1,1,9,11,-9.96,19.84,83.1
