Cultivar,SPAD_1,SPAD_6,SPAD_9,SPAD_11,SPAD_14,Vase_life
BP,55.1,55.9,73.1,48.7,39.7,14
BP,50.5,61.4,74,49.1,37.6,14
BP,70.6,69.1,78.4,54.9,46.2,14
BP,77.4,70.2,76.6,53.2,42.7,14
BP,79,65.2,66,51.9,40.3,14
BP,43.7,55.3,68,54.5,49.4,12
BP,44.9,59.2,61.4,54.6,51.4,12
BP,47.8,69.8,68.7,53.2,56.2,12
BP,76.8,76.2,79,47.7,66.1,11
BP,77.8,96.8,70.8,47.4,57.4,11
BP,80,84.3,71.5,44.8,61.8,11
BP,64.5,93.4,58,48,70.5,11
BP,66.9,83.7,57.9,48.2,67.8,11
BP,64,85.6,57.6,47.9,60.4,11
BP,86.8,77.8,79.5,66.6,52.7,15
BP,80.9,86.8,76.5,59.5,50.1,15
BP,83.7,83.8,71,64.2,54.1,15
BP,64.9,85.4,49.8,51.2,39.4,15
BP,69.2,83.7,43.8,50.3,40.1,15
BP,75.7,72,39.8,46.9,38.2,15
BP,77.9,91.4,81.1,71.2,45.2,14
BP,77.6,76.4,70.5,76.6,44.2,14
BP,72.9,74.6,70.6,72.4,42.5,14
BP,93.2,92.6,97,84.4,64.8,14
BP,96.9,90.6,90,85.8,64.2,14
BP,91.5,87.2,85.2,83.9,61.3,14
BP,82.4,85.1,73.2,70.7,39.7,14
BP,83.2,82.1,70.7,69.4,48.1,14
BP,80.2,79.2,71.2,70.1,40.1,14
BP,79.6,99.8,84.9,64.9,52.4,14
BP,78.3,88.8,77.5,53.8,51.7,14
BP,74.2,85.7,74.8,63.2,52.7,14
BP,79.7,90.7,91.3,53.6,26.1,15
BP,87.4,88.2,82.7,52.4,22.5,15
BP,90.4,77.2,73.5,54.1,24.1,15
BP,93.2,83.7,85.4,76.2,57.8,12
BP,110.2,99.1,88.2,77.1,51.4,12
BP,87.2,95.1,83.2,72.2,52.9,12
BP,69.4,75.3,76.7,65,17.9,14
BP,72.4,85.4,73.7,65.1,19.9,14
BP,67.9,81.7,71.8,66.2,20.1,14
BP,95.5,96.1,93,72.4,51,13
