condition,substrate,group,treatment method ,treatment,treat No.,cultivar,number,samples,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,9,77.15,-4.76,10.33,83.4,-10.23,20.07,86.7,-5.69,12.46,85.76,-9.4,20.06,80.68,-4.32,21.31
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,9,75.67,-4.64,9.94,83.7,-10.21,20.2,76.82,-5.87,12.53,85.8,-9.39,20.15,80.86,-4.41,21.42
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,10,83.59,-7.29,15.13,75.85,-4.32,10.14,82.15,-1.98,5.61,78.54,-6.41,13.47,88.05,-6.81,14.03
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,10,84.19,-6.4,13.59,81.53,-5.09,11.4,83,-2.01,5.75,79.57,-6.39,13.04,87.99,-6.75,14.02
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,10,83.99,-5.94,12.75,82.25,-5.17,11.44,83.87,-1.89,5.94,80.55,-6.47,13.18,88.13,-6.83,14.11
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,11,85.56,-6.86,13.27,78.75,-7.09,15.45,82.9,-12.07,23.1,82.37,-8.47,16.91,84.37,-8.54,17.89
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,11,85.73,-6.66,13,78.58,-6.99,15.13,83,-12.14,23.13,82.04,-8.46,16.89,84.46,-8.53,17.74
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,11,85.47,-6.65,12.96,79.86,-7.4,15.97,83.06,-12.18,23.19,81.75,-8.5,16.89,85.39,-8.6,17.88
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,12,85.32,-5.12,9.37,86.26,-7.71,15.89,85.28,-10.44,20.73,85.67,-7.91,14.61,81.67,-7.59,23.16
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,2,12,84.92,-4.93,9.04,86.03,-7.51,15.52,84.97,-10.24,20.31,85.88,-7.76,14.36,81.96,-7.66,23.25
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,3,12,84.33,-4.78,8.78,85.92,-7.53,15.4,84.95,-10.36,20.46,86.28,-7.65,14.25,82.09,-7.75,23.32
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,1,70.29,-7.23,14.5,82.92,-8.2,16.52,81.4,-9.3,17.96,77.52,-5.65,21.8,82.08,-4.57,17.89
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,1,65.26,-6.3,12.82,81.73,-7.95,16.27,81.15,-11.14,21.49,73.65,-3.89,21.44,72.61,-4.49,20.74
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,1,62.4,-5.55,11.68,79.88,-7.8,16.22,81.4,-11.52,22.03,73.66,-3.83,21.42,73.23,-4.42,21.03
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,2,68.44,-3.06,6.39,83.52,-7.18,14.87,83.73,-10.64,20.92,85.51,-9.49,21.56,74.48,-8.11,23.21
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,2,66.29,-2.7,5.85,84.35,-7.59,15.56,83.63,-10.61,20.92,85.43,-9.5,21.63,74.23,-8.06,23.5
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,2,66.7,-2.72,6.01,85.21,-7.8,16.15,83.32,-10.61,20.99,85.44,-9.57,21.71,73.95,-8.12,23.41
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,3,78.96,-6.3,11.3,61.06,-6.87,14.61,82.09,-9.8,18.81,84.03,-10.08,22.31,81.31,-5.59,19.68
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,3,80.2,-8.1,14.94,76.87,-8.83,17.55,80.65,-8.88,17.51,84.43,-10.26,22.74,78.2,-4.83,20.9
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,3,77.28,-8.95,17.11,78.7,-9.34,18.2,81.29,-9.3,17.96,84.45,-10.5,22.95,78.01,-4.84,20.84
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,4,80.17,-9.58,18.03,83.96,-6.12,11.9,84.33,-7.88,14.7,88.14,-4.43,8.08,88.33,-3.19,7.67
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,4,83.96,-9.72,18.09,84.82,-6.26,12.18,84.42,-7.91,14.65,88.18,-4.37,7.93,89.18,-3.49,8.25
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,4,83.98,-9.06,17.14,85.78,-6.48,12.72,84.58,-7.62,14.18,88.23,-4.31,7.92,89.29,-3.53,8.3
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,5,83.93,-4.02,6.93,83.72,-10.88,22.08,81,-5.81,10.78,80.93,-8.3,20.2,86.74,-4.08,13.56
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,5,87.28,-4.82,8.42,83.85,-10.9,22.09,82.26,-6.6,11.97,81.46,-8.28,20.17,86.65,-4.13,13.53
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,5,86.44,-4.71,8.24,83.98,-11.05,22.32,82.41,-6.61,12.22,83.18,-8.72,21.12,86.74,-4.03,13.54
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,6,69.91,-6.62,13.03,83.36,-8.3,17.13,77.89,-10.84,22.39,79.26,-6.86,25.26,79.61,-3.25,18.84
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,6,71.67,-6.79,13.43,84.54,-8.38,17.24,78.66,-11.04,22.56,79.33,-6.97,25.3,79.49,-3.29,18.94
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,6,75.07,-7.73,15.31,85.05,-8.45,17.39,78.41,-10.85,22.33,79.43,-6.97,25.19,79.48,-3.33,19.09
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,7,79.12,-10.57,22.08,83.53,-10.29,21.79,78.87,-12.65,24.44,80.01,-8.25,23.76,76.35,-3.76,24.62
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,7,77.24,-9.73,20.71,83.76,-10.41,22.05,80,-13.37,25.45,80.09,-8.37,23.85,76.62,-3.71,24.97
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,3,7,76.3,-9.43,20.06,82.94,-10.56,22.32,79.77,-13.29,25.33,80.04,-8.39,23.95,77.13,-3.87,24.84
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,1,8,81.93,-10.18,18.43,84.1,-8.57,17.02,81.77,-10.16,19.54,83.84,-12.46,24.52,83.71,-8.47,17.96
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_AG,3,AG,2,8,80.12,-9.25,17.01,83.6,-8.32,16.56,81.93,-10.01,19.46,83.76,-12.43,24.47,85.05,-9.49,19.85
